user_id,treatment,converted,revenue,device,country,prior_orders,pre_period_spend,days_since_signup,timestamp
U009946,control,0,0.0,desktop,CA,1,27.68,234,2026-01-01 00:01:00
U005490,treatment,0,0.0,desktop,US,1,84.18,346,2026-01-01 00:01:00
U003880,control,1,36.99,desktop,US,3,37.04,4,2026-01-01 00:07:00
U001651,control,0,0.0,desktop,UK,5,64.09,361,2026-01-01 00:10:00
U002373,control,0,0.0,tablet,IN,2,36.63,189,2026-01-01 00:13:00
U011694,control,0,0.0,mobile,IN,1,95.83,52,2026-01-01 00:15:00
U005595,treatment,1,321.34,desktop,US,2,280.01,282,2026-01-01 00:15:00
U010679,control,0,0.0,mobile,US,2,19.99,696,2026-01-01 00:19:00
U004998,control,0,0.0,desktop,UK,1,26.26,600,2026-01-01 00:19:00
U010794,treatment,0,0.0,mobile,UK,0,73.84,698,2026-01-01 00:22:00
U008255,treatment,0,0.0,mobile,UK,3,49.69,584,2026-01-01 00:22:00
U011031,control,0,0.0,tablet,US,2,67.93,3,2026-01-01 00:29:00
U001313,treatment,0,0.0,mobile,US,4,16.87,582,2026-01-01 00:33:00
U004868,control,0,0.0,mobile,US,1,36.94,92,2026-01-01 00:34:00
U007918,control,0,0.0,tablet,CA,3,33.78,343,2026-01-01 00:36:00
U008413,treatment,0,0.0,mobile,UK,2,106.59,630,2026-01-01 00:43:00
U007456,treatment,0,0.0,desktop,CA,1,47.53,446,2026-01-01 00:47:00
U006628,treatment,0,0.0,mobile,IN,3,66.7,579,2026-01-01 00:47:00
U006774,treatment,0,0.0,mobile,UK,3,20.12,399,2026-01-01 00:50:00
U006262,control,0,0.0,desktop,IN,1,98.09,597,2026-01-01 00:50:00
U011363,treatment,0,0.0,desktop,US,1,22.01,143,2026-01-01 00:54:00
U011773,control,0,0.0,mobile,US,1,105.58,210,2026-01-01 01:06:00
U007628,treatment,0,0.0,tablet,US,0,116.4,264,2026-01-01 01:07:00
U003475,treatment,1,165.4,mobile,IN,1,43.61,674,2026-01-01 01:09:00
U009895,treatment,0,0.0,tablet,IN,3,61.54,167,2026-01-01 01:12:00
U000528,treatment,0,0.0,mobile,IN,1,227.38,26,2026-01-01 01:14:00
U002658,treatment,0,0.0,mobile,CA,3,65.41,347,2026-01-01 01:22:00
U003110,treatment,0,0.0,desktop,US,1,69.59,481,2026-01-01 01:23:00
U009434,control,0,0.0,mobile,US,2,53.32,468,2026-01-01 01:26:00
U003232,control,0,0.0,desktop,US,2,110.84,274,2026-01-01 01:29:00
U005448,control,0,0.0,mobile,UK,2,17.18,80,2026-01-01 01:32:00
U008842,control,0,0.0,mobile,UK,1,77.2,258,2026-01-01 01:34:00
U000952,control,0,0.0,mobile,UK,1,42.1,385,2026-01-01 01:40:00
U007411,treatment,0,0.0,desktop,IN,2,85.83,516,2026-01-01 01:43:00
U009601,treatment,0,0.0,mobile,UK,2,72.94,40,2026-01-01 01:44:00
U007437,control,1,24.39,desktop,US,0,79.46,678,2026-01-01 01:48:00
U010929,treatment,0,0.0,mobile,US,3,135.42,519,2026-01-01 01:59:00
U004953,control,0,0.0,tablet,IN,0,57.14,416,2026-01-01 02:03:00
U007675,control,0,0.0,desktop,US,4,140.8,546,2026-01-01 02:03:00
U006909,treatment,0,0.0,mobile,US,1,34.26,258,2026-01-01 02:05:00
U006082,control,0,0.0,desktop,US,2,44.65,531,2026-01-01 02:07:00
U003483,treatment,0,0.0,desktop,US,4,43.28,5,2026-01-01 02:14:00
U009549,treatment,0,0.0,mobile,US,0,98.0,103,2026-01-01 02:16:00
U005538,treatment,1,12.52,mobile,US,3,46.68,322,2026-01-01 02:16:00
U001913,treatment,0,0.0,desktop,IN,2,42.82,456,2026-01-01 02:18:00
U011482,treatment,0,0.0,desktop,CA,2,27.13,149,2026-01-01 02:26:00
U003990,treatment,0,0.0,mobile,UK,3,152.52,289,2026-01-01 02:27:00
U009522,treatment,0,0.0,tablet,US,4,68.48,62,2026-01-01 02:27:00
U007483,treatment,0,0.0,tablet,CA,2,39.04,400,2026-01-01 02:28:00
U000951,treatment,0,0.0,mobile,US,5,129.11,682,2026-01-01 02:31:00
U002558,control,0,0.0,desktop,UK,0,64.03,301,2026-01-01 02:34:00
U006513,control,0,0.0,tablet,UK,2,67.43,67,2026-01-01 02:36:00
U001062,treatment,0,0.0,tablet,CA,3,38.95,689,2026-01-01 02:46:00
U010918,treatment,0,0.0,mobile,US,5,33.35,2,2026-01-01 02:47:00
U002671,treatment,0,0.0,mobile,IN,2,49.28,78,2026-01-01 02:49:00
U010182,treatment,0,0.0,mobile,US,3,153.0,352,2026-01-01 02:56:00
U009761,treatment,0,0.0,mobile,US,6,43.8,276,2026-01-01 02:57:00
U009836,control,0,0.0,mobile,IN,4,44.82,173,2026-01-01 03:00:00
U010323,control,0,0.0,desktop,US,1,38.89,24,2026-01-01 03:02:00
U000026,control,0,0.0,desktop,US,3,32.3,472,2026-01-01 03:22:00
U003209,control,0,0.0,mobile,UK,2,29.16,344,2026-01-01 03:31:00
U006130,control,0,0.0,mobile,IN,4,88.42,218,2026-01-01 03:35:00
U008837,treatment,0,0.0,desktop,US,2,45.92,16,2026-01-01 03:36:00
U004002,control,0,0.0,mobile,UK,2,34.39,519,2026-01-01 03:37:00
U007698,treatment,0,0.0,mobile,UK,5,90.29,103,2026-01-01 03:41:00
U011749,control,0,0.0,mobile,UK,3,16.02,288,2026-01-01 03:41:00
U007947,treatment,0,0.0,desktop,IN,4,147.81,49,2026-01-01 03:44:00
U001838,control,0,0.0,mobile,IN,3,59.82,227,2026-01-01 03:45:00
U010777,treatment,1,53.44,desktop,IN,5,31.89,711,2026-01-01 03:48:00
U004362,treatment,0,0.0,mobile,US,2,39.65,445,2026-01-01 03:49:00
U008079,treatment,0,0.0,mobile,IN,4,147.54,70,2026-01-01 04:00:00
