user_id,treatment,converted,revenue,device,country,prior_orders,pre_period_spend,days_since_signup,timestamp
U007557,treatment,0.0,0.0,mobile,UK,3,37.86,624,2026-01-01 00:07:00
U008539,control,0.0,0.0,desktop,US,2,79.82,604,2026-01-01 00:25:00
U008288,control,0.0,0.0,desktop,UK,3,63.23,466,2026-01-01 00:32:00
U002765,control,0.0,0.0,mobile,US,2,32.11,65,2026-01-01 00:33:00
U008290,control,0.0,0.0,desktop,US,2,53.72,53,2026-01-01 00:38:00
U011226,control,0.0,0.0,desktop,US,1,12.63,690,2026-01-01 00:38:00
U007852,treatment,,0.0,mobile,UK,2,193.97,719,2026-01-01 00:40:00
U002430,treatment,0.0,0.0,mobile,US,3,138.76,332,2026-01-01 00:42:00
U000791,control,0.0,0.0,mobile,UK,3,48.71,293,2026-01-01 00:43:00
U005059,control,0.0,0.0,mobile,UK,4,98.43,149,2026-01-01 00:47:00
U010674,control,0.0,0.0,mobile,US,1,52.7,348,2026-01-01 00:57:00
U002902,control,0.0,0.0,mobile,US,2,29.0,242,2026-01-01 01:04:00
U000818,control,0.0,0.0,mobile,UK,2,112.14,181,2026-01-01 01:08:00
U003943,control,0.0,0.0,mobile,IN,1,9.12,399,2026-01-01 01:12:00
U008266,control,0.0,0.0,mobile,US,1,33.62,609,2026-01-01 01:14:00
U005919,treatment,0.0,0.0,mobile,IN,2,39.88,548,2026-01-01 01:29:00
U004885,control,0.0,0.0,mobile,UK,1,107.03,210,2026-01-01 01:39:00
U008334,treatment,0.0,0.0,mobile,CA,2,102.73,346,2026-01-01 01:44:00
U004897,control,1.0,13.64,desktop,IN,2,35.0,126,2026-01-01 01:46:00
U000202,treatment,0.0,0.0,mobile,CA,3,83.51,156,2026-01-01 01:48:00
U009982,control,1.0,72.44,mobile,IN,6,35.22,678,2026-01-01 01:50:00
U008404,treatment,0.0,0.0,mobile,CA,1,74.19,490,2026-01-01 01:50:00
U011434,treatment,0.0,0.0,mobile,IN,3,88.91,511,2026-01-01 01:54:00
U005776,control,0.0,0.0,mobile,IN,4,73.09,462,2026-01-01 01:57:00
U004577,control,0.0,0.0,mobile,IN,2,139.02,107,2026-01-01 02:04:00
U009456,treatment,0.0,0.0,desktop,UK,1,96.75,607,2026-01-01 02:06:00
U001253,control,0.0,0.0,tablet,IN,5,51.08,46,2026-01-01 02:07:00
U011380,control,0.0,0.0,mobile,IN,3,28.09,121,2026-01-01 02:14:00
U010614,control,0.0,0.0,mobile,UK,2,29.56,669,2026-01-01 02:24:00
U001745,control,0.0,0.0,mobile,US,1,92.5,71,2026-01-01 02:28:00
U007533,control,0.0,0.0,mobile,US,0,100.33,330,2026-01-01 02:29:00
U002102,control,0.0,0.0,tablet,US,2,88.31,537,2026-01-01 02:39:00
U007532,control,0.0,0.0,mobile,US,2,45.17,391,2026-01-01 02:46:00
U003477,control,0.0,0.0,mobile,IN,2,46.02,46,2026-01-01 02:48:00
U011111,control,0.0,0.0,mobile,UK,1,103.42,71,2026-01-01 02:51:00
U001109,control,0.0,0.0,mobile,UK,1,35.97,152,2026-01-01 02:59:00
U006649,control,0.0,0.0,mobile,US,0,55.65,82,2026-01-01 03:07:00
U006600,treatment,0.0,0.0,desktop,US,2,54.19,1,2026-01-01 03:08:00
U006268,treatment,,0.0,mobile,IN,3,50.11,419,2026-01-01 03:11:00
U005149,treatment,0.0,0.0,mobile,UK,2,92.49,93,2026-01-01 03:13:00
U010063,control,0.0,0.0,mobile,IN,1,46.39,128,2026-01-01 03:15:00
U010206,control,0.0,0.0,mobile,US,2,93.19,119,2026-01-01 03:17:00
U009513,control,0.0,0.0,mobile,IN,3,34.3,713,2026-01-01 03:22:00
U000585,treatment,1.0,60.46,desktop,IN,1,72.97,369,2026-01-01 03:25:00
U006776,control,1.0,25.41,desktop,IN,1,48.11,368,2026-01-01 03:30:00
U004975,treatment,0.0,0.0,mobile,IN,1,79.59,628,2026-01-01 03:31:00
U004983,control,0.0,0.0,desktop,US,1,27.79,272,2026-01-01 03:34:00
U004070,control,1.0,51.34,desktop,IN,3,33.85,57,2026-01-01 03:38:00
U011091,control,0.0,0.0,desktop,US,2,20.39,316,2026-01-01 03:40:00
U011574,control,0.0,0.0,desktop,CA,2,55.17,462,2026-01-01 03:42:00
U007418,treatment,0.0,0.0,mobile,IN,2,63.55,15,2026-01-01 03:49:00
U008627,treatment,0.0,0.0,mobile,IN,2,40.66,37,2026-01-01 03:50:00
